ts,machine_id,spindle_speed_rpm,vibration_g,temperature_c,tool_wear_pct,is_running,defect_flag
2025-08-17 13:36:49.992668,1,1055,0.2755122,46.112125,35.052578,1,0
2025-08-17 13:37:19.992668,1,0,0.20352975,38.42449,27.146076,0,0
2025-08-17 13:37:49.992668,1,1130,0.3153156,41.078373,27.865723,1,0
2025-08-17 13:38:19.992668,1,1203,0.199642,47.808163,42.80637,1,0
2025-08-17 13:38:49.992668,1,1657,0.2019797,51.12732,31.467075,1,0
2025-08-17 13:39:19.992668,1,1245,0.2073081,46.208416,28.867628,1,0
2025-08-17 13:39:49.992668,1,1655,0.47226503,51.85592,31.11105,1,0
2025-08-17 13:40:19.992668,1,1852,0.16927317,44.510117,33.889336,1,0
2025-08-17 13:40:49.992668,1,1284,0.15955582,46.823288,32.934425,1,0
2025-08-17 13:41:19.992668,1,1855,0.23342673,47.404568,22.48602,1,0
2025-08-17 13:41:49.992668,1,1939,0.3443773,47.000378,34.20374,1,0
2025-08-17 13:42:19.992668,1,1618,0.32783708,50.476788,37.50991,1,0
2025-08-17 13:42:49.992668,1,1635,0.21810892,47.99241,22.941961,1,0
2025-08-17 13:43:19.992668,1,1916,0.20724669,45.094837,26.0924,1,0
2025-08-17 13:43:49.992668,1,1797,0.29011586,52.45956,31.327251,1,0
2025-08-17 13:44:19.992668,1,1625,0.35974896,48.65166,28.4982,1,0
2025-08-17 13:44:49.992668,1,1769,0.3518987,47.969143,16.771738,1,0
2025-08-17 13:45:19.992668,1,1638,0.28623492,47.69182,31.12529,1,0
2025-08-17 13:45:49.992668,1,691,0.24851593,38.434486,24.690912,1,0
2025-08-17 13:46:19.992668,1,1102,0.19726542,45.521812,32.445316,1,0
2025-08-17 13:46:49.992668,1,1396,0.27718568,46.95786,33.896008,1,0
2025-08-17 13:47:19.992668,1,1040,0.18585378,49.352047,37.088528,1,0
2025-08-17 13:47:49.992668,1,2056,0.21052541,53.049488,38.5985,1,0
2025-08-17 13:48:19.992668,1,1849,0.30192694,45.576378,32.750134,1,0
2025-08-17 13:48:49.992668,1,1134,0.21893884,43.013462,28.287703,1,0
2025-08-17 13:49:19.992668,1,1722,0.35911092,56.22749,28.45195,1,0
2025-08-17 13:49:49.992668,1,1417,0.13479668,50.65718,36.574364,1,0
2025-08-17 13:50:19.992668,1,1153,0.29941127,49.416214,31.211798,1,0
2025-08-17 13:50:49.992668,1,1838,0.26398665,45.539436,35.33007,1,0
2025-08-17 13:51:19.992668,1,2030,0.18990564,46.758717,33.936195,1,0
2025-08-17 13:51:49.992668,1,2007,0.1805887,50.472584,23.239931,1,0
2025-08-17 13:52:19.992668,1,1191,0.32029387,45.236217,36.13917,1,0
2025-08-17 13:52:49.992668,1,1715,0.13748758,48.471413,25.28016,1,0
2025-08-17 13:53:19.992668,1,1890,0.2400694,51.671024,27.835903,1,0
2025-08-17 13:53:49.992668,1,1810,0.17591627,47.511105,33.651737,1,0
2025-08-17 13:54:19.992668,1,1536,0.2684763,45.25319,35.391285,1,0
2025-08-17 13:54:49.992668,1,1520,0.17327935,51.746014,34.63275,1,0
